Supplementary Table 1. Differentially methylated genes in mutant IDH-expressing human astrocytes;;;;;;;;;;;;
Probeset ID;Symbol;Normalized fold change (mut/wt);Delta-beta (P40 mut vs P40 wt);Chromosome;Mapinfo;Accession;UCSC Refgene group;Relation to UCSC CpG island;Q value;;;
cg00118229;PDE9A;1,20759;0,0180805;21;4,41E+07;"NM_001001582;NM_001001568;NM_001001573;NM_001001567;NM_001001578;NM_002606;NM_001001580;NM_001001579;NM_001001581;NM_001001571;NM_001001584;NM_001001576;NM_001001585;NM_001001574;NM_001001572;NM_001001569;NM_001001570;NM_001001577;NM_001001583;NM_001001575";"Body;Body;5'UTR;Body;Body;Body;5'UTR;5'UTR;Body;Body;5'UTR;5'UTR;5'UTR;Body;5'UTR;Body;Body;Body;Body;Body";N_Shore;0,0404324;;;
cg00118542;;-4,74687;-0,1502965;7;5,27E+07;;;;0,044444;;;
cg00118712;EBF3;2,42848;0,041007;10;1,32E+08;NM_001005463;Body;S_Shore;0,0470716;;;
cg00118783;;4,47909;0,143631;16;1,07E+06;;;Island;0,0471883;;;
cg00118808;;3,68721;0,140547;9;1,32E+08;;;N_Shore;0,0399093;;;
cg00119034;;2,23795;0,06388;4;8,62E+06;;;N_Shelf;0,0481219;;;
cg00119755;;-3,07662;-0,1195015;5;1,35E+08;;;;0,049333;;;
cg00120932;TRIM31;-5,32262;-0,1783735;6;3,01E+07;NM_007028;Body;;0,0403706;;;
cg00121135;CBFA2T3;2,76802;0,10384;16;8,90E+07;"NM_175931;NM_005187";"5'UTR;Body";N_Shelf;0,0472957;;;
cg00121255;;-15,2805;-0,2453855;6;1,15E+08;;;;0,0394157;;;
cg00121374;ARHGEF16;2,27533;0,0494295;1;3,39E+06;NM_014448;Body;N_Shelf;0,0471883;;;
cg00121904;MAOB;6,78198;0,187583;X;4,37E+07;NM_000898;TSS200;Island;0,0371541;;;
cg00122765;NF1;10,5794;0,184972;17;2,95E+07;"NM_001042492;NM_001128147;NM_000267";"Body;Body;Body";;0,0459881;;;
cg00123666;LMO1;2,67575;0,1042715;11;8,28E+06;NM_002315;Body;Island;0,0477031;;;
cg00124993;MIR886;-1,33332;-0,0309905;5;1,35E+08;NR_030583;TSS200;Island;0,0382745;;;
cg00125858;;1,66537;0,037646;1;4,46E+07;;;Island;0,0382745;;;
cg00126034;WNT3;2,14175;0,0823955;17;4,49E+07;NM_030753;TSS200;Island;0,042357;;;
cg00126148;;7,76261;0,1775115;4;1,12E+08;;;S_Shore;0,0489521;;;
cg00126638;HLA-G;3,17377;0,082502;6;2,98E+07;NM_002127;5'UTR;Island;0,0429566;;;
cg00126698;BTK;-2,89128;-0,111954;X;1,01E+08;NM_000061;5'UTR;;0,0454978;;;
cg00126946;SH3PXD2A;2,53086;0,088141;10;1,05E+08;NM_014631;Body;S_Shore;0,0488885;;;
cg00127487;;5,35283;0,1771185;22;2,96E+07;;;N_Shore;0,0400952;;;
cg00128702;ADCYAP1;-8,50221;-0,22605;18;905156;"NM_001099733;NM_001117";"5'UTR;TSS200";Island;0,0394993;;;
cg00128718;;3,05587;0,1145455;13;4,33E+07;;;;0,0461224;;;
cg00128805;SRP14;2,05594;0,0322645;15;4,03E+07;NM_003134;Body;N_Shore;0,048816;;;
cg00129563;PRDM6;-3,38015;-0,129329;5;1,22E+08;NM_001136239;Body;Island;0,0391234;;;
cg00130165;EPHA5;2,73398;0,0455629;4;6,65E+07;"NM_004439;NM_182472";"TSS1500;TSS1500";Island;0,0389275;;;
cg00130181;CLYBL;16,2539;0,235135;13;1,01E+08;NM_206808;Body;;0,0446011;;;
cg00130530;FKBP5;4,02829;0,118396;6;3,57E+07;"NM_001145775;NM_001145777;NM_001145776;NM_004117";"5'UTR;TSS1500;TSS1500;TSS1500";S_Shore;0,0453537;;;
cg00131081;ZNF260;-6,93653;-0,1958765;19;3,70E+07;"NM_001166036;NM_001166037;NM_001166038;NM_001012756";"TSS1500;TSS1500;TSS1500;TSS1500";S_Shore;0,0404461;;;
cg00134210;FAM107B;8,50702;0,2205015;10;1,46E+07;NM_031453;Body;N_Shore;0,04433;;;
cg00134787;MYH1;-3,06041;-0,0821455;17;1,04E+07;NM_005963;Body;;0,045725;;;
cg00135056;C3orf37;6,00376;0,1572505;3;1,29E+08;"NM_020187;NM_001006109";"TSS1500;TSS1500";N_Shore;0,0460486;;;
cg00135416;CARD14;14,1599;0,1959815;17;7,82E+07;"NM_052819;NM_024110";"Body;Body";Island;0,0394157;;;
cg00136173;;37,9843;0,282275;5;1,76E+08;;;N_Shore;0,0400885;;;
cg00137629;GUSB;1,76901;0,0344835;7;6,54E+07;NM_000181;Body;N_Shore;0,0402725;;;
cg00138126;PMEPA1;4,86549;0,1363785;20;5,63E+07;"NM_199169;NM_199170;NM_199171";"TSS1500;TSS1500;TSS200";S_Shore;0,0422328;;;
cg00138641;MIR193B;5,00397;0,07655935;16;1,44E+07;NR_030177;TSS1500;Island;0,0403706;;;
cg00139681;;24,8318;0,317073;7;1,06E+08;;;;0,0437997;;;
cg00141447;;-2,14839;-0,0826405;13;1,14E+08;;;N_Shelf;0,0429848;;;
cg00141845;UPRT;-7,27138;-0,210602;X;7,45E+07;"NM_145052;NR_030774";"TSS1500;TSS1500";;0,04756;;;
cg00142036;SEPHS1;6,16736;0,1681195;10;1,34E+07;NM_012247;5'UTR;;0,0472374;;;
cg00143362;MEIG1;-3,81799;-0,103005;10;1,50E+07;NM_001080836;TSS1500;N_Shore;0,0406498;;;
cg00143376;NMUR1;5,55484;0,1779175;2;2,32E+08;NM_006056;Body;N_Shore;0,0460486;;;
cg00143809;PLXNB2;11,534;0,2156905;22;5,07E+07;NM_012401;Body;Island;0,0391234;;;
cg00144550;LONRF2;-3,00413;-0,1143625;2;1,01E+08;NM_198461;Body;Island;0,0470729;;;
cg00145103;;3,74623;0,069124;17;2,14E+07;;;;0,0493418;;;
cg00145118;GNPDA1;24,3896;0,2880265;5;1,41E+08;NM_005471;TSS1500;S_Shore;0,0382745;;;
cg00145177;NAT8L;7,97726;0,1584755;4;2,06E+06;NM_178557;TSS1500;Island;0,0499324;;;
cg00145757;PHLDB1;-2,08119;-0,0747145;11;1,18E+08;"NM_001144758;NM_001144759;NM_015157";"5'UTR;5'UTR;5'UTR";Island;0,0437997;;;
cg00145875;;4,46852;0,1518095;2;1,11E+07;;;S_Shelf;0,0422715;;;
cg00145911;SAMD11;6,42599;0,122496;1;867938;NM_152486;Body;N_Shore;0,0393968;;;
cg00146249;BAIAP2;4,39785;0,0362805;17;7,90E+07;"NM_017450;NM_006340;NM_001144888;NM_017451";"Body;Body;Body;Body";N_Shelf;0,0486385;;;
cg00146755;;1,64411;0,0231545;21;4,56E+07;;;N_Shore;0,0491646;;;
cg00146864;MAP3K14;3,30503;0,1196085;17;4,34E+07;NM_003954;5'UTR;N_Shore;0,0459878;;;
cg00147160;CNKSR1;2,9235;0,09202;1;2,65E+07;"NR_023345;NM_006314;NM_006314";"Body;5'UTR;1stExon";;0,0483612;;;
cg00147248;CHRM2;2,1515;0,066525;7;1,37E+08;"NM_001006631;NM_000739;NM_001006627;NM_001006628;NM_001006629;NM_001006632;NM_001006630;NM_001006626";"5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR";;0,0426744;;;
cg00147509;FAM19A5;2,16875;0,0375185;22;4,89E+07;NM_001082967;Body;;0,0412408;;;
cg00148501;KIAA0146;1,7673;0,028624;8;4,84E+07;NM_001080394;Body;;0,0499624;;;
cg00148862;SNTG2;-4,9335;-0,1151115;2;1,29E+06;NM_018968;Body;Island;0,0444804;;;
cg00149213;SLAMF1;-5,2558;-0,17302;1;1,61E+08;NM_003037;TSS200;;0,0475179;;;
cg00149473;;-2,18826;-0,0695965;10;9,45E+07;;;Island;0,0426082;;;
cg00149830;UCK1;-3,36364;-0,0826895;9;1,34E+08;"NM_031432;NM_001135954";"Body;Body";Island;0,0387052;;;
cg00150520;RNF220;-1,61793;-0,0455365;1;4,51E+07;NM_018150;Body;Island;0,0414823;;;
cg00150837;GNL3;-3,85603;-0,094119;3;5,27E+07;"NM_206826;NM_014366;NM_206825;NR_003047";"Body;Body;Body;TSS1500";S_Shore;0,0423647;;;
cg00150848;SPIRE2;-3,04348;-0,0528315;16;8,99E+07;NM_032451;Body;S_Shelf;0,0393841;;;
cg00151048;;-8,44508;-0,1758005;1;1,02E+08;;;;0,0418069;;;
cg00151271;AFAP1;52,4348;0,378687;4;7,87E+06;"NM_198595;NM_001134647";"Body;Body";;0,0382745;;;
cg00152034;ITGA1;9,62972;0,2407785;5;5,21E+07;"NM_181501;NM_015946";"Body;5'UTR";N_Shore;0,0382745;;;
cg00152259;MRM1;-4,61369;-0,122822;17;3,50E+07;NM_024864;TSS1500;N_Shore;0,0382745;;;
cg00152644;SPRR2E;7,32252;0,198251;1;1,53E+08;NM_001024209;TSS1500;;0,0462775;;;
cg00152646;CRYBB1;29,7916;0,214143;22;2,70E+07;NM_001887;TSS1500;;0,0421814;;;
cg00153106;;4,25057;0,142558;5;1,73E+08;;;Island;0,0423188;;;
cg00153306;TMIE;4,57894;0,1136405;3;4,67E+07;NM_147196;TSS1500;N_Shore;0,0391234;;;
cg00153543;KCNG4;4,57501;0,15762;16;8,43E+07;NM_172347;Body;S_Shelf;0,0424135;;;
cg00156118;TCF7L1;2,30237;0,077833;2;8,55E+07;NM_031283;Body;;0,049158;;;
cg00157359;PELI3;11,235;0,224464;11;6,62E+07;"NM_145065;NM_001098510";"TSS1500;TSS1500";N_Shore;0,0397946;;;
cg00157456;DHODH;7,15184;0,1866585;16;7,20E+07;NM_001361;TSS1500;Island;0,0424192;;;
cg00157638;;3,79393;0,1436485;1;1,10E+07;;;;0,0423645;;;
cg00157668;;-3,63607;-0,1265925;10;1,10E+08;;;Island;0,0402725;;;
cg00157987;;-5,48423;-0,1805765;14;6,53E+07;;;Island;0,0488299;;;
cg00158654;RGS21;2,20257;0,055903;1;1,92E+08;NM_001039152;TSS1500;;0,0451376;;;
cg00158934;PTK6;-2,40467;-0,0917165;20;6,22E+07;NM_005975;Body;N_Shore;0,0473356;;;
cg00159243;SELPLG;55,8777;0,392787;12;1,09E+08;NM_003006;5'UTR;;0,0382745;;;
cg00159439;MAFF;2,62078;0,0617475;22;3,86E+07;"NM_012323;NM_001161574;NM_001161572";"TSS1500;TSS1500;TSS1500";N_Shore;0,0410493;;;
cg00160301;NEB;-3,6225;-0,1186665;2;1,53E+08;"NM_001164508;NM_001164507;NM_004543";"TSS1500;TSS1500;TSS1500";;0,0394061;;;
cg00160302;ST18;-1,6605;-0,0549935;8;5,33E+07;NM_014682;TSS1500;;0,0490126;;;
cg00160388;;6,45149;0,1114025;16;1,44E+07;;;;0,0447681;;;
cg00160583;COL16A1;8,04239;0,1450875;1;3,22E+07;NM_001856;Body;N_Shelf;0,0382745;;;
cg00161124;SLC35F3;-5,01441;-0,171135;1;2,34E+08;NM_173508;Body;N_Shore;0,0433421;;;
cg00161225;P2RX1;9,99914;0,1791235;17;3,81E+06;NM_002558;Body;;0,0398626;;;
cg00163576;;-5,93815;-0,187199;3;8,63E+07;;;;0,0493823;;;
cg00163727;;-4,15078;-0,1526855;6;9,90E+07;;;;0,0444907;;;
cg00164189;MTP18;6,39233;0,1689175;22;3,08E+07;"NM_001003704;NM_016498;NM_012429";"TSS1500;TSS1500;3'UTR";N_Shore;0,0422328;;;
cg00164196;;5,34796;0,168421;2;1,62E+08;;;Island;0,0354216;;;
cg00164949;C1QL1;1,35906;0,008812;17;4,30E+07;NM_006688;3'UTR;Island;0,0396662;;;
cg00164997;;-5,32105;-0,1280505;6;2,50E+07;;;N_Shore;0,0431265;;;
cg00165862;GOLT1A;-4,15798;-0,14628;1;2,04E+08;"NM_198447;NM_198447";"5'UTR;1stExon";;0,0397946;;;
cg00166915;MEG8;2,90889;0,093643;14;1,01E+08;NR_024149;Body;;0,0446011;;;
cg00167275;FAM35A;1,37566;0,0343365;10;8,89E+07;"NM_019054;NM_005271;NM_005271";"TSS1500;5'UTR;1stExon";Island;0,0394157;;;
cg00167763;MPPED1;15,1845;0,236603;22;4,38E+07;NM_001044370;5'UTR;N_Shore;0,0391234;;;
cg00167913;MEGF6;2,40471;0,075091;1;3,45E+06;NM_001409;Body;N_Shore;0,0448462;;;
cg00168634;;8,35598;0,226367;4;1,55E+08;;;;0,0382745;;;
cg00169122;ANKRD11;-1,43571;-0,0392445;16;8,95E+07;NM_013275;5'UTR;S_Shore;0,0447727;;;
cg00169677;ZC3H3;2,60229;0,055928;8;1,45E+08;NM_015117;Body;;0,0401276;;;
cg00169737;MORN3;3,19775;0,0773625;12;1,22E+08;NM_173855;3'UTR;;0,0459829;;;
cg00170242;;1,7833;0,0357165;10;1,33E+08;;;;0,040381;;;
cg00170438;HRH3;9,92051;0,1700765;20;6,08E+07;NM_007232;Body;N_Shore;0,0382745;;;
cg00170796;SNORD45C;8,63413;0,210923;1;7,63E+07;"NR_003042;NM_004582";"TSS1500;TSS1500";;0,0397666;;;
cg00171203;SFPQ;1,25344;0,0084343;1;3,57E+07;NM_005066;Body;Island;0,042183;;;
cg00172672;;5,3994;0,124609;20;3,49E+07;;;Island;0,0413124;;;
cg00172812;;32,3452;0,2294725;1;2,33E+07;;;Island;0,0449118;;;
cg00172967;RAB5B;1,30341;0,011721;12;5,64E+07;"NM_002868;NM_002868";"1stExon;5'UTR";Island;0,0478328;;;
cg00173063;;1,91602;0,047498;8;1,44E+08;;;Island;0,0459246;;;
cg00173270;;9,97382;0,2383255;X;1,07E+08;;;N_Shore;0,0446884;;;
cg00173504;TBX15;-1,26729;-0,022688;1;1,20E+08;NM_152380;5'UTR;Island;0,0428388;;;
cg00173787;C1orf66;26,3068;0,250101;1;1,57E+08;"NM_001142560;NM_001142560;NM_030980;NM_015997;NM_015997";"1stExon;5'UTR;TSS1500;1stExon;5'UTR";Island;0,0382745;;;
cg00174179;RHOA;6,13405;0,178123;3;4,95E+07;"NM_001664;NM_022171";"TSS1500;Body";S_Shore;0,0463055;;;
cg00174421;PNMA2;-3,19188;-0,124061;8;2,64E+07;NM_007257;TSS1500;Island;0,0478961;;;
cg00174851;AKR1B1;-5,49337;-0,177081;7;1,34E+08;NM_001628;Body;N_Shore;0,0459881;;;
cg00174992;NOSTRIN;-2,85778;-0,092588;2;1,70E+08;"NM_001171631;NM_052946;NM_001039724;NM_001039724;NM_001171632;NM_052946;NM_001171632";"5'UTR;5'UTR;1stExon;5'UTR;5'UTR;1stExon;1stExon";;0,0475179;;;
cg00175901;OAS2;4,81684;0,1223855;12;1,13E+08;"NM_001032731;NM_002535;NM_001032731;NM_002535;NM_016817;NM_016817";"1stExon;5'UTR;5'UTR;1stExon;1stExon;5'UTR";;0,0382745;;;
cg00175980;CCDC64;-4,44842;-0,1249715;12;1,20E+08;NM_207311;TSS1500;Island;0,0497941;;;
cg00176210;ANK1;19,8667;0,2835015;8;4,17E+07;"NM_020476;NM_020475;NM_001142446;NM_020477;NM_000037";"Body;Body;Body;Body;Body";Island;0,040352;;;
cg00176835;SLC5A10;-1,44173;-0,0160055;17;1,89E+07;"NM_001042450;NM_001039999;NM_152351";"Body;Body;Body";S_Shelf;0,0486558;;;
cg00177431;PMEPA1;6,9563;0,194132;20;5,63E+07;"NM_199171;NM_199170;NM_199169;NM_020182";"5'UTR;5'UTR;Body;Body";;0,0439941;;;
cg00178551;;5,26672;0,09617;8;1,16E+06;;;;0,0390167;;;
cg00179070;COL1A1;3,11248;0,08809;17;4,83E+07;NM_000088;TSS200;Island;0,0379277;;;
cg00180762;SSPN;3,32689;0,096168;12;2,64E+07;"NM_001135823;NM_005086";"Body;Body";;0,0459077;;;
cg00181669;;4,81258;0,1511475;3;4,40E+07;;;;0,0464503;;;
cg00182416;MIR516A2;23,2454;0,3249105;19;5,43E+07;NR_030221;TSS1500;;0,0434742;;;
cg00182758;;2,92506;0,1158145;17;4,30E+07;;;S_Shore;0,0492248;;;
cg00183107;INPP4B;-5,47163;-0,1713175;4;1,44E+08;"NM_001101669;NM_003866";"5'UTR;5'UTR";Island;0,0382745;;;
cg00184203;FAM171B;5,1156;0,158762;2;1,88E+08;NM_177454;TSS1500;N_Shore;0,0409077;;;
cg00186141;PODXL;-8,89264;-0,200667;7;1,31E+08;"NM_001018111;NM_005397";"TSS1500;TSS1500";Island;0,0494547;;;
cg00187465;CC2D1B;5,16924;0,176416;1;5,28E+07;NM_032449;5'UTR;N_Shore;0,0437081;;;
cg00187933;IDUA;-6,27565;-0,176842;4;996785;NM_000203;Body;Island;0,0347648;;;
cg00188627;SCHIP1;15,5913;0,1923935;3;1,60E+08;NM_014575;Body;;0,034929;;;
cg00188704;HOXA2;-12,6362;-0,250735;7;2,71E+07;NM_006735;Body;N_Shelf;0,0382745;;;
cg00190034;TACC1;2,83632;0,0898165;8;3,86E+07;NM_001146216;TSS1500;;0,0430786;;;
cg00191102;;-3,80367;-0,143177;8;1,96E+06;;;S_Shore;0,0411384;;;
cg00191178;;-4,5693;-0,1526415;3;7,47E+07;;;N_Shore;0,040591;;;
cg00192533;GABRB3;-4,16054;-0,140523;15;2,70E+07;"NM_000814;NM_021912";"Body;Body";Island;0,0429729;;;
cg00192636;;15,4382;0,176637;17;7,78E+07;;;N_Shore;0,0382745;;;
cg00192882;MFAP4;7,50332;0,198464;17;1,93E+07;NM_002404;TSS1500;;0,0402222;;;
cg00194109;;2,69571;0,1071135;6;2,88E+07;;;N_Shore;0,0437321;;;
cg00196810;SELK;14,1303;0,2481175;3;5,39E+07;NM_021237;Body;N_Shore;0,0484876;;;
cg00196983;CHP2;-1,43251;-0,0358255;16;2,38E+07;NM_022097;Body;Island;0,0389586;;;
cg00197173;CAPN11;15,91;0,288159;6;4,41E+07;NM_007058;TSS1500;;0,0493412;;;
cg00197191;;-2,5034;-0,097104;16;7,57E+07;;;;0,0421247;;;
cg00197322;MAD1L1;-6,45182;-0,15559;7;1,99E+06;"NM_003550;NM_001013837;NM_001013836";"Body;Body;Body";N_Shore;0,0498565;;;
cg00197373;OR2V2;2,18465;0,061615;5;1,81E+08;NM_206880;TSS200;;0,0444292;;;
cg00198586;KALRN;6,94675;0,1679015;3;1,24E+08;"NR_028136;NM_001024660;NM_003947";"Body;Body;Body";;0,0400885;;;
cg00198603;ITGA8;-2,49098;-0,0987615;10;1,58E+07;NM_003638;Body;N_Shore;0,0382745;;;
cg00198729;PPY;21,4836;0,32118;17;4,20E+07;NM_002722;TSS1500;;0,0382745;;;
cg00199048;MAP3K14;8,87821;0,2157525;17;4,34E+07;NM_003954;TSS1500;S_Shore;0,0418427;;;
cg00199091;TRERF1;4,45176;0,1431075;6;4,22E+07;NM_033502;Body;S_Shore;0,0437394;;;
cg00200463;STARD8;1,7722;0,05957;X;6,79E+07;"NM_001142504;NM_001142504;NM_014725;NM_001142503";"5'UTR;1stExon;5'UTR;Body";Island;0,0394157;;;
cg00200653;RORA;5,81237;0,1685495;15;6,09E+07;"NM_002943;NM_134261;NM_134262;NM_134260";"Body;Body;Body;Body";N_Shore;0,0382745;;;
cg00201175;;-10,8024;-0,2125745;12;4,87E+07;;;;0,0403813;;;
cg00201870;POM121L12;-12,1405;-0,1751265;7;5,31E+07;NM_182595;1stExon;Island;0,0382745;;;
cg00202441;GABRB1;3,92055;0,1450495;4;4,70E+07;NM_000812;TSS200;N_Shore;0,0410366;;;
cg00202829;CCDC33;3,36784;0,111971;15;7,46E+07;"NM_025055;NM_182791";"Body;TSS1500";;0,0415251;;;
cg00203124;;25,4938;0,3155325;5;1,54E+08;;;N_Shore;0,0399472;;;
cg00203463;COBRA1;1,74159;0,031268;9;1,40E+08;NM_015456;Body;Island;0,0402222;;;
cg00203568;ARHGEF6;3,95572;0,1119425;X;1,36E+08;NM_004840;Body;S_Shore;0,0391234;;;
cg00203915;;6,83542;0,184775;7;1,31E+06;;;N_Shore;0,0489169;;;
cg00204782;TBX1;5,96689;0,187055;22;1,98E+07;"NM_080647;NM_005992;NM_080646";"Body;Body;Body";Island;0,0382745;;;
cg00205605;;1,8409;0,032674;1;2,52E+06;;;N_Shore;0,0422425;;;
cg00205813;;-8,70658;-0,1760835;3;1,18E+08;;;;0,0396662;;;
cg00206281;NETO2;5,63843;0,1583935;16;4,72E+07;NM_018092;TSS1500;S_Shore;0,0478432;;;
cg00206468;;2,83328;0,1089665;16;8,60E+07;;;;0,0391234;;;
cg00206553;PPY2;2,31733;0,0772095;17;2,66E+07;NR_002181;TSS1500;N_Shelf;0,0454632;;;
cg00207280;TRIB1;7,6454;0,193946;8;1,26E+08;NM_025195;TSS1500;N_Shore;0,04413;;;
cg00207352;PLXNB1;5,79308;0,179417;3;4,85E+07;"NM_001130082;NM_002673";"5'UTR;5'UTR";N_Shore;0,0454632;;;
cg00207833;NIPA1;10,1731;0,164947;15;2,31E+07;"NM_144599;NM_001142275";"Body;5'UTR";Island;0,0448377;;;
cg00207865;KCNA2;-6,4779;-0,1400865;1;1,11E+08;NM_004974;TSS1500;Island;0,0438788;;;
cg00207916;;1,46874;0,0189495;X;1,53E+08;;;Island;0,040196;;;
cg00208412;GOLGA7B;2,91424;0,083343;10;9,96E+07;NM_001010917;TSS1500;Island;0,0444585;;;
cg00211403;WSCD2;-9,9879;-0,173903;12;1,09E+08;NM_014653;5'UTR;S_Shore;0,0418427;;;
cg00213080;CYTH3;1,3243;0,018823;7;6,20E+06;NM_004227;3'UTR;Island;0,0471532;;;
cg00214250;PTPRN2;-4,61854;-0,113313;7;1,58E+08;"NM_002847;NM_130842;NM_130843";"Body;Body;Body";;0,0483994;;;
cg00215182;C1QB;5,57027;0,1497465;1;2,30E+07;NM_000491;TSS200;;0,0471783;;;
cg00215521;;6,14236;0,1255255;22;1,77E+07;;;N_Shore;0,0382745;;;
cg00216305;;2,05239;0,0365715;16;5,16E+07;;;;0,0401629;;;
cg00216570;TFEB;2,91317;0,10247;6;4,17E+07;"NM_001167827;NM_007162";"3'UTR;3'UTR";S_Shore;0,0428;;;
cg00216758;RASSF7;8,28011;0,221242;11;560589;"NM_001143994;NM_001143993;NM_173573;NM_003475";"TSS1500;TSS1500;Body;TSS1500";Island;0,0445;;;
cg00216913;;10,2021;0,176418;16;8,60E+07;;;;0,0419911;;;
cg00216961;ANO2;3,44071;0,120828;12;6,05E+06;NM_020373;Body;;0,0434742;;;
cg00216997;GPKOW;2,58643;0,0661735;X;4,90E+07;NM_015698;TSS200;Island;0,0382745;;;
cg00217080;;3,85443;0,03559655;2;4,05E+06;;;Island;0,0478806;;;
cg00217868;CDYL;12,9694;0,13764275;6;4,78E+06;"NM_004824;NR_026590";"Body;Body";Island;0,045624;;;
cg00218406;HCP5;-13,9952;-0,2274355;6;3,14E+07;NM_006674;3'UTR;;0,0382745;;;
cg00218649;MGAT1;12,3952;0,2418155;5;1,80E+08;"NM_001114617;NM_001114618";"TSS1500;TSS1500";Island;0,0446379;;;
cg00219282;FNDC1;-3,71951;-0,137697;6;1,60E+08;NM_032532;Body;Island;0,0440156;;;
cg00219653;RABEP2;4,09431;0,1255935;16;2,89E+07;NM_024816;TSS1500;S_Shore;0,0422425;;;
cg00220113;FLJ43860;2,53436;0,072955;8;1,42E+08;NM_207414;Body;N_Shore;0,0464416;;;
cg00220225;SEMA3F;31,9625;0,338722;3;5,02E+07;NM_004186;5'UTR;S_Shore;0,0382745;;;
cg00220492;C15orf41;-10,3523;-0,173826;15;3,69E+07;"NM_001130010;NM_001130010";"1stExon;5'UTR";Island;0,0382745;;;
cg00220575;;3,22569;0,105718;6;4,65E+07;;;N_Shore;0,0382745;;;
cg00221070;;6,10066;0,1724405;5;6,33E+07;;;N_Shore;0,0492002;;;
cg00221327;DAXX;10,7421;0,190181;6;3,33E+07;"NM_001141970;NR_024517;NM_001350;NM_001141969";"TSS1500;TSS1500;TSS1500;TSS1500";S_Shore;0,0428404;;;
cg00221668;PKP3;4,15982;0,113299;11;394072;NM_007183;TSS200;N_Shore;0,0383741;;;
cg00221794;;2,48757;0,0416745;2;2,08E+07;;;;0,049392;;;
cg00222684;TRANK1;-1,61941;-0,049489;3;3,69E+07;NM_014831;Body;;0,0487669;;;
cg00222690;KLHL31;8,04665;0,1313385;6;5,35E+07;NM_001003760;Body;Island;0,0401629;;;
cg00222799;ABCG1;5,01378;0,168669;21;4,37E+07;"NM_207628;NM_004915;NM_207174;NM_207627;NM_016818;NM_207629";"Body;Body;Body;Body;Body;Body";Island;0,0419911;;;
cg00223046;KCNAB2;9,86259;0,2409195;1;6,13E+06;"NM_003636;NM_172130";"Body;Body";N_Shore;0,0382745;;;
cg00223135;TP53BP1;7,58726;0,2095045;15;4,38E+07;NM_005657;5'UTR;N_Shelf;0,0391234;;;
cg00223186;ACBD6;21,6184;0,2338385;1;1,80E+08;NM_032360;TSS200;Island;0,0382745;;;
cg00223877;TKT;2,92049;0,0579305;3;5,33E+07;"NM_001135056;NM_001064;NM_001135055";"TSS1500;TSS1500;TSS1500";S_Shore;0,0496061;;;
cg00223899;;6,77288;0,1423685;16;8,83E+07;;;;0,0412502;;;
cg00224202;NHSL1;-4,08685;-0,118004;6;1,39E+08;"NM_020464;NM_020464";"1stExon;5'UTR";;0,0388099;;;
cg00224911;RASSF6;-2,43125;-0,080477;4;7,45E+07;"NM_201431;NM_177532";"Body;TSS200";Island;0,0477997;;;
cg00226225;LOC728264;10,3141;0,242616;5;1,49E+08;NR_027180;TSS1500;;0,0461316;;;
cg00226822;;-7,33002;-0,212649;4;1,16E+06;;;N_Shelf;0,0347648;;;
cg00226931;GAL;-1,84615;-0,064271;11;6,85E+07;"NM_015973;NM_015973";"1stExon;5'UTR";Island;0,0487642;;;
cg00227651;;3,12007;0,0604175;12;1,28E+08;;;;0,0399144;;;
cg00228735;;4,98389;0,164368;7;1,31E+08;;;;0,0382745;;;
cg00228738;;4,31152;0,143316;9;9,59E+07;;;N_Shore;0,0412672;;;
cg00229809;CELSR1;35,5973;0,311958;22;4,68E+07;NM_014246;Body;N_Shore;0,0465618;;;
cg00230183;GALNS;4,44911;0,1320175;16;8,89E+07;NM_000512;Body;N_Shore;0,0470115;;;
cg00230271;TBCK;24,5802;0,214484;4;1,07E+08;"NM_001163437;NM_033115;NM_004757;NM_004757;NM_001163435;NM_033115;NM_001163436;NM_001142416;NM_001163437;NM_001142415;NM_001163435";"1stExon;1stExon;5'UTR;1stExon;1stExon;5'UTR;5'UTR;TSS1500;5'UTR;5'UTR;5'UTR";;0,0394993;;;
cg00231099;BMS1P1;2,23092;0,0722155;10;4,68E+07;"NR_026566;NR_003611";"TSS1500;TSS1500";S_Shore;0,0485623;;;
cg00231192;TRIM61;-6,56501;-0,1989825;4;1,66E+08;NM_001012414;TSS1500;;0,0489157;;;
cg00231389;ABAT;3,11754;0,083298;16;8,81E+06;"NM_020686;NM_000663";"5'UTR;TSS200";;0,0483596;;;
cg00231521;ZNF616;2,64604;0,0843075;19;5,26E+07;"NM_178523;NM_178523";"1stExon;5'UTR";Island;0,0382745;;;
cg00232500;FREM1;-2,88237;-0,0958515;9;1,49E+07;NM_144966;TSS1500;;0,0402222;;;
cg00232535;;3,51884;0,1126725;7;5,59E+06;;;N_Shore;0,041536;;;
cg00235336;BEND4;-4,91599;-0,138347;4;4,21E+07;"NM_207406;NM_001159547";"3'UTR;3'UTR";;0,0405691;;;
cg00235933;ANKRD34B;6,06093;0,1816365;5;7,99E+07;NM_001004441;5'UTR;Island;0,0394157;;;
cg00237512;TCEA2;2,7561;0,0517655;20;6,27E+07;"NM_198723;NM_198723";"1stExon;5'UTR";Island;0,0476205;;;
cg00238182;SCUBE1;2,5789;0,0736045;22;4,36E+07;NM_173050;Body;N_Shore;0,0421799;;;
